250000 10
8030 8 6761 5
31979 9 29073 3
32821 4 13482 4
38769 5 5299 9
54328 7 18435 9
54761 8 52991 6
68905 5 44397 7
70969 3 5128 9
71905 8 65854 7
73793 3 19825 4
77823 3 23863 4
82067 6 43156 8
82724 10 11347 7
83137 7 68536 7
83439 5 41236 3
84211 7 36398 10
89926 8 57875 9
90949 3 55683 7
92734 4 10967 5
97503 8 91691 10
97857 10 87635 3
101351 4 18894 6
104088 8 36101 4
105294 7 20429 9
105601 7 58882 5
106153 7 52988 5
107300 10 699 4
112403 9 97424 9
113301 10 73220 5
115019 3 68281 7
115136 6 22973 9
116895 3 79846 7
118957 4 104635 8
121953 3 80227 10
125619 4 90062 6
129903 6 16177 4
134883 7 111892 9
137603 3 36003 7
145301 7 30144 7
148349 5 25918 5
149343 8 15299 5
149483 4 145629 4
150511 6 75852 9
154598 3 1787 10
157561 9 25279 6
157592 7 73037 8
158006 9 69411 7
159082 3 55375 8
165053 8 144241 7
166897 6 23575 7
167394 7 111887 4
168365 3 30744 3
169171 5 96399 5
169488 9 68437 3
170784 10 12353 10
171599 3 16878 8
172843 9 106103 8
173221 9 99298 6
174889 10 7533 6
175403 9 1661 5
181349 8 145965 10
182167 6 18831 6
182533 7 72427 9
183093 10 157687 7
183988 6 19741 4
184760 8 126483 6
189828 5 187537 6
191127 8 54758 6
191640 3 57421 4
192823 5 191029 8
193485 10 88103 7
195416 10 67201 8
196820 10 160687 10
196997 8 24065 5
198853 8 34934 6
200981 5 41266 7
203256 4 91003 4
206266 10 134733 4
206285 7 46426 10
209109 3 167923 8
209120 10 32367 9
209635 7 45272 4
210809 3 192465 5
211195 10 126964 4
212203 7 38379 4
215007 8 195322 7
215233 6 125310 4
215686 4 124869 9
217005 9 161954 8
217186 5 113121 4
219253 9 9806 10
219975 5 96731 6
220213 10 139890 5
220786 8 70261 4
222611 6 126822 6
223730 8 131297 7
225017 8 210853 7
226011 4 162799 10
236385 6 65632 9
237645 6 148564 5
238433 10 207615 8
238615 10 10326 3
240963 6 31633 6
241099 10 126297 3
241295 5 239933 3
243894 8 39079 8
243977 7 32940 9
244575 5 123818 3
247439 8 104186 6
249488 10 151151 7
249554 9 173573 4
